Name_of_algo,MSE,RMSE,MAPE,MAE
Baseline,0.2508904152685763,0.5008896238380032,5.8365016382496195,0.4208339973439573
Random Forest,0.27593354440021955,0.5252937696186959,5.53954084920687,0.4095210128157685
Decision Tree,0.308934156088126,0.5558184560520872,5.592587012365626,0.4105889167044694
SVM,0.3275180012083583,0.5722918846256325,5.880796598541973,0.43883385686337667
LSTM,0.35475575861335357,0.5956137663061135,5.786955833205665,0.4328635946073696
ARIMAX,0.3114367968988051,0.5580652263838028,6.908331409817844,0.4905864300244932
