Name_of_algo,MSE,RMSE,MAPE,MAE
Baseline,0.4221565015715649,0.6497357167122375,7.103173022196921,0.4747816353633082
Random Forest Regressor,0.36574000000000023,0.6047644169426639,7.203571428571433,0.5140000000000002
Decision Tree Regressor,0.4,0.6324555320336759,5.357142857142857,0.4
SVM Regressor,0.5817017982940451,0.7626937775372532,9.131811113255045,0.6557589075297955
Decision Tree Classification,0.4,0.6324555320336759,5.357142857142857,0.4
SVM Classification,0.6,0.7745966692414834,8.69047619047619,0.6
Random Forest Classification,0.4,0.6324555320336759,5.833333333333333,0.4
